amount,frequency,geolocation,device_id,merchant_type,payment_method,is_fraud
279.42,3,FR,dev_9679,Restaurants,Debit Card,0
119.38,17,ZA,dev_6191,Travel,Net Banking,0
224.41,4,SG,dev_6495,Clothing,Debit Card,0
180.17,18,IN,dev_8464,Fuel,UPI,0
72.88,1,CA,dev_9306,Restaurants,UPI,0
203.95,11,FR,dev_8796,Clothing,Credit Card,0
7.41,16,SG,dev_6464,Restaurants,Debit Card,0
17.45,9,US,dev_5073,Grocery,Credit Card,0
3.7,1,AU,dev_8309,Grocery,Net Banking,0
31.48,5,IN,dev_4942,Fuel,Credit Card,0
39.37,7,CA,dev_7427,Travel,Debit Card,0
25.32,18,SG,dev_7849,Pharmacy,Net Banking,0
141.16,10,SG,dev_1583,Fuel,Net Banking,0
35.3,11,GB,dev_1755,Pharmacy,UPI,0
26.38,8,SG,dev_8742,Clothing,Net Banking,0
62.59,1,AU,dev_2135,Restaurants,Net Banking,0
12.15,7,FR,dev_2495,Fuel,Credit Card,0
129.64,10,FR,dev_7238,Pharmacy,Net Banking,1
6.2,3,SG,dev_7819,Electronics,E-Wallet,0
346.73,9,CA,dev_7254,Electronics,UPI,0
118.36,19,IN,dev_6724,Travel,UPI,0
17.72,15,CA,dev_9451,Pharmacy,Net Banking,0
0.44,7,BR,dev_1409,Fuel,Credit Card,0
135.19,3,IN,dev_7644,Clothing,UPI,0
98.17,9,US,dev_2602,Electronics,UPI,0
104.45,11,AU,dev_1925,Travel,E-Wallet,0
118.02,13,CA,dev_3136,Fuel,Net Banking,0
6.15,15,GB,dev_6002,Travel,UPI,0
35.51,17,FR,dev_3317,Clothing,UPI,0
9.85,11,SG,dev_2511,Electronics,UPI,0
159.08,17,IN,dev_1830,Electronics,UPI,0
78.1,6,SG,dev_9920,Electronics,Credit Card,0
32.15,19,US,dev_8079,Pharmacy,Debit Card,0
5.25,6,BR,dev_7154,Grocery,E-Wallet,0
29.8,8,SG,dev_8584,Pharmacy,Credit Card,0
31.47,0,CA,dev_3280,Electronics,E-Wallet,0
104.63,5,IN,dev_2445,Restaurants,UPI,0
81.19,5,GB,dev_1890,Grocery,E-Wallet,0
174.58,11,US,dev_5105,Fuel,Net Banking,0
51.13,11,ZA,dev_5888,Pharmacy,Net Banking,0
10.19,9,AU,dev_7826,Grocery,Debit Card,0
99.93,5,BR,dev_3977,Grocery,Debit Card,0
114.43,16,CA,dev_2835,Pharmacy,E-Wallet,0
65.91,18,AU,dev_7427,Pharmacy,Credit Card,0
117.91,17,GB,dev_1305,Grocery,Credit Card,1
54.47,5,AU,dev_4248,Travel,UPI,0
59.17,18,FR,dev_2002,Restaurants,Credit Card,0
44.63,9,IN,dev_6732,Clothing,Debit Card,0
2.06,7,AU,dev_8263,Electronics,Credit Card,0
9.13,5,CA,dev_7975,Pharmacy,UPI,0
2.55,6,ZA,dev_8940,Grocery,Net Banking,0
80.94,0,FR,dev_4485,Clothing,Credit Card,0
30.19,17,FR,dev_4667,Pharmacy,Credit Card,0
56.83,19,AU,dev_5563,Travel,Debit Card,0
190.5,11,BR,dev_8853,Clothing,E-Wallet,0
22.94,15,DE,dev_4721,Grocery,Net Banking,0
42.26,9,BR,dev_3247,Fuel,E-Wallet,0
112.7,9,SG,dev_7887,Restaurants,UPI,0
20.78,13,CA,dev_3436,Clothing,UPI,0
6.41,19,DE,dev_2620,Pharmacy,E-Wallet,0
27.37,9,IN,dev_8483,Grocery,Debit Card,0
14.06,9,FR,dev_1493,Pharmacy,Debit Card,0
212.4,10,CA,dev_5977,Grocery,Debit Card,0
132.07,1,GB,dev_7662,Electronics,Net Banking,0
80.28,19,SG,dev_7228,Fuel,UPI,0
164.12,7,ZA,dev_8696,Electronics,UPI,0
130.24,6,SG,dev_4351,Fuel,UPI,0
16.52,7,CA,dev_2671,Restaurants,Net Banking,0
178.47,0,IN,dev_6590,Electronics,UPI,0
62.01,1,FR,dev_3247,Restaurants,E-Wallet,0
131.79,17,US,dev_2141,Pharmacy,Credit Card,0
181.14,14,US,dev_1355,Travel,Net Banking,0
30.62,0,CA,dev_5618,Travel,Credit Card,0
9.33,4,AU,dev_1156,Fuel,E-Wallet,0
20.69,1,BR,dev_3526,Fuel,Debit Card,0
44.56,19,SG,dev_9666,Electronics,Debit Card,0
136.31,2,IN,dev_9855,Travel,Debit Card,0
157.71,18,SG,dev_7346,Clothing,Net Banking,0
0.56,17,GB,dev_9440,Clothing,Debit Card,0
57.19,17,US,dev_6785,Pharmacy,Net Banking,0
43.22,13,FR,dev_8255,Clothing,Net Banking,0
20.09,7,GB,dev_5835,Pharmacy,Credit Card,0
10.21,11,FR,dev_6187,Travel,Debit Card,0
32.95,9,SG,dev_7172,Clothing,UPI,0
229.05,19,IN,dev_8602,Restaurants,Debit Card,0
31.23,16,US,dev_3158,Grocery,Debit Card,0
58.52,10,SG,dev_9964,Fuel,Debit Card,0
97.13,1,US,dev_9954,Electronics,UPI,0
36.16,3,CA,dev_6663,Pharmacy,UPI,0
285.42,0,ZA,dev_1609,Restaurants,Net Banking,0
262.56,14,ZA,dev_3622,Clothing,UPI,0
23.2,12,FR,dev_3053,Grocery,Net Banking,0
55.01,7,SG,dev_3522,Electronics,Credit Card,0
28.63,3,DE,dev_1507,Restaurants,Net Banking,0
26.82,9,US,dev_1477,Electronics,Debit Card,0
3.01,18,US,dev_1617,Pharmacy,E-Wallet,0
75.24,17,DE,dev_1355,Pharmacy,E-Wallet,0
55.88,4,AU,dev_6826,Fuel,Debit Card,0
4.23,18,SG,dev_1631,Travel,Net Banking,0
26.13,15,DE,dev_2235,Pharmacy,Debit Card,0
191.11,0,ZA,dev_2640,Clothing,UPI,0
21.91,11,US,dev_8409,Restaurants,Net Banking,0
12.52,1,ZA,dev_7721,Restaurants,Debit Card,0
53.78,7,SG,dev_3145,Grocery,UPI,0
339.52,17,IN,dev_9988,Grocery,UPI,0
22.17,15,IN,dev_3438,Grocery,Net Banking,0
89.21,4,FR,dev_7579,Electronics,Credit Card,0
114.71,12,ZA,dev_7922,Clothing,Credit Card,0
21.71,18,ZA,dev_8503,Electronics,UPI,0
104.22,2,ZA,dev_4104,Clothing,Credit Card,0
36.68,7,AU,dev_5806,Restaurants,UPI,0
80.04,11,ZA,dev_7458,Pharmacy,Credit Card,0
80.31,1,IN,dev_4602,Pharmacy,UPI,0
61.39,10,AU,dev_1019,Electronics,UPI,0
7.57,11,FR,dev_3675,Electronics,UPI,0
144.29,17,CA,dev_4825,Electronics,UPI,0
30.94,12,GB,dev_6349,Travel,E-Wallet,0
16.51,4,FR,dev_7370,Fuel,Credit Card,0
3.33,11,BR,dev_6237,Clothing,UPI,0
71.5,1,AU,dev_6835,Pharmacy,Debit Card,0
90.55,4,IN,dev_5605,Clothing,Net Banking,0
1.34,6,IN,dev_9573,Electronics,Debit Card,0
57.41,11,SG,dev_8409,Travel,Debit Card,0
20.55,15,US,dev_5509,Electronics,E-Wallet,0
82.89,7,ZA,dev_6976,Clothing,Credit Card,0
15.33,8,IN,dev_2345,Fuel,E-Wallet,1
93.94,14,ZA,dev_2041,Pharmacy,Credit Card,0
39.12,4,DE,dev_5981,Fuel,UPI,0
220.83,12,US,dev_2381,Restaurants,E-Wallet,0
11.84,4,DE,dev_7998,Travel,Net Banking,0
33.37,10,ZA,dev_8661,Fuel,Credit Card,0
9.64,9,AU,dev_6277,Travel,E-Wallet,0
206.9,19,BR,dev_5231,Electronics,Net Banking,0
167.87,12,US,dev_1863,Restaurants,Debit Card,0
23.87,8,AU,dev_7566,Clothing,UPI,0
86.3,13,IN,dev_4167,Fuel,UPI,0
135.96,17,BR,dev_6339,Fuel,Debit Card,0
64.81,14,CA,dev_2248,Grocery,E-Wallet,0
60.34,9,IN,dev_3329,Pharmacy,Debit Card,0
22.15,6,GB,dev_4876,Clothing,Net Banking,0
7.82,7,FR,dev_2558,Fuel,Credit Card,0
182.01,2,US,dev_2005,Fuel,E-Wallet,0
184.54,14,GB,dev_4905,Clothing,Credit Card,0
80.21,15,ZA,dev_9368,Restaurants,Debit Card,0
33.12,3,US,dev_1376,Travel,UPI,0
34.37,5,FR,dev_6294,Clothing,Credit Card,0
103.56,0,US,dev_5521,Travel,Credit Card,1
181.93,3,AU,dev_9240,Restaurants,UPI,0
174.49,10,DE,dev_2732,Restaurants,Credit Card,0
121.08,11,SG,dev_6013,Electronics,Credit Card,0
82.18,4,AU,dev_1206,Grocery,UPI,0
7.03,15,FR,dev_9307,Restaurants,UPI,0
14.1,12,US,dev_1203,Restaurants,Debit Card,0
183.06,12,AU,dev_8331,Travel,Debit Card,0
74.6,16,DE,dev_4271,Restaurants,Credit Card,0
0.74,6,GB,dev_7077,Clothing,E-Wallet,0
8.56,7,AU,dev_9657,Electronics,Debit Card,0
87.13,12,ZA,dev_1314,Electronics,Debit Card,0
0.41,15,GB,dev_3918,Clothing,E-Wallet,0
14.03,3,FR,dev_6537,Fuel,E-Wallet,0
63.66,7,GB,dev_4361,Restaurants,UPI,0
94.19,15,US,dev_8434,Pharmacy,Debit Card,0
84.44,9,BR,dev_7643,Grocery,Net Banking,0
20.32,11,BR,dev_3067,Restaurants,Net Banking,0
99.63,11,CA,dev_9092,Electronics,Credit Card,0
21.67,4,ZA,dev_7051,Grocery,Debit Card,0
31.49,15,US,dev_3227,Pharmacy,Net Banking,0
109.79,0,FR,dev_8448,Fuel,Debit Card,0
83.9,8,IN,dev_5471,Travel,Debit Card,0
151.36,11,BR,dev_1402,Travel,Net Banking,0
85.75,4,FR,dev_6799,Pharmacy,Debit Card,0
67.2,19,GB,dev_5898,Restaurants,E-Wallet,0
7.87,2,AU,dev_7194,Restaurants,Credit Card,0
36.67,4,BR,dev_8342,Grocery,UPI,0
24.65,1,US,dev_7679,Grocery,Net Banking,0
22.38,13,BR,dev_2354,Fuel,UPI,0
288.98,1,DE,dev_1258,Restaurants,Credit Card,0
39.95,12,DE,dev_9774,Electronics,E-Wallet,0
178.08,6,DE,dev_9049,Travel,E-Wallet,0
79.79,9,ZA,dev_2597,Fuel,E-Wallet,0
126.71,12,BR,dev_1868,Grocery,E-Wallet,0
55.87,15,CA,dev_8096,Electronics,Net Banking,0
68.81,13,FR,dev_7527,Restaurants,Net Banking,0
54.26,10,DE,dev_8680,Clothing,Debit Card,0
17.38,9,GB,dev_9158,Grocery,Debit Card,0
102.54,5,US,dev_4011,Fuel,Credit Card,0
26.37,3,ZA,dev_6421,Clothing,Debit Card,0
1.97,0,SG,dev_2872,Electronics,Credit Card,0
82.96,6,DE,dev_7551,Pharmacy,Credit Card,0
15.59,8,FR,dev_7959,Travel,Credit Card,0
225.69,7,GB,dev_9332,Pharmacy,E-Wallet,0
246.2,4,US,dev_1734,Pharmacy,UPI,0
197.08,18,AU,dev_4928,Pharmacy,UPI,0
36.98,9,IN,dev_3619,Electronics,Net Banking,0
1.25,10,GB,dev_2870,Travel,Credit Card,0
210.84,14,CA,dev_3034,Electronics,E-Wallet,0
44.72,5,GB,dev_3380,Pharmacy,Debit Card,0
272.07,14,GB,dev_2295,Grocery,Debit Card,0
265.1,4,CA,dev_1333,Pharmacy,Net Banking,0
153.39,18,AU,dev_6840,Grocery,Net Banking,0
27.9,18,ZA,dev_7854,Fuel,Credit Card,0
38.9,9,BR,dev_5436,Pharmacy,Credit Card,0
152.38,11,US,dev_3804,Clothing,Debit Card,0
30.49,3,GB,dev_8351,Electronics,Debit Card,0
14.86,17,GB,dev_7501,Pharmacy,Debit Card,0
65.1,15,CA,dev_2107,Electronics,Debit Card,0
220.1,7,FR,dev_2835,Pharmacy,UPI,0
95.27,3,GB,dev_5737,Clothing,Credit Card,0
67.53,11,GB,dev_9078,Pharmacy,Credit Card,0
8.18,1,CA,dev_5749,Restaurants,Debit Card,0
76.36,3,FR,dev_2229,Fuel,E-Wallet,0
368.85,4,CA,dev_9546,Electronics,Debit Card,0
12.07,2,ZA,dev_8489,Fuel,Net Banking,0
58.44,8,GB,dev_8822,Electronics,E-Wallet,0
167.89,17,DE,dev_7103,Electronics,Net Banking,0
108.0,10,US,dev_3144,Restaurants,E-Wallet,0
95.53,2,FR,dev_7943,Pharmacy,Net Banking,0
96.98,1,DE,dev_2046,Grocery,Debit Card,0
35.64,8,CA,dev_4631,Fuel,Debit Card,0
27.8,13,GB,dev_5003,Clothing,E-Wallet,0
132.59,3,CA,dev_6101,Fuel,Net Banking,0
132.91,8,BR,dev_6669,Pharmacy,UPI,0
161.44,12,BR,dev_1150,Restaurants,E-Wallet,0
195.57,17,ZA,dev_3998,Travel,E-Wallet,0
57.29,14,GB,dev_6772,Travel,Credit Card,0
55.69,9,GB,dev_1831,Restaurants,E-Wallet,1
128.08,15,DE,dev_8174,Pharmacy,UPI,0
83.98,11,SG,dev_3182,Restaurants,Debit Card,0
96.84,19,GB,dev_9270,Grocery,Net Banking,0
127.09,4,ZA,dev_8890,Fuel,Credit Card,0
176.59,1,FR,dev_7075,Pharmacy,Net Banking,0
33.0,9,FR,dev_6484,Fuel,Debit Card,0
37.67,0,CA,dev_1374,Travel,E-Wallet,0
7.9,6,DE,dev_4432,Pharmacy,UPI,0
69.07,16,AU,dev_2961,Clothing,Credit Card,0
2.93,15,IN,dev_8129,Fuel,UPI,0
50.13,2,CA,dev_7738,Electronics,UPI,0
62.58,13,GB,dev_5205,Electronics,UPI,0
27.01,9,CA,dev_9922,Grocery,UPI,0
71.49,6,AU,dev_4292,Pharmacy,Debit Card,0
2.48,16,IN,dev_1929,Grocery,UPI,0
3.05,5,AU,dev_4468,Pharmacy,UPI,0
138.35,3,AU,dev_8698,Travel,Debit Card,0
35.73,16,BR,dev_3841,Clothing,Net Banking,0
10.87,8,FR,dev_9642,Clothing,Debit Card,0
59.09,3,SG,dev_6835,Restaurants,E-Wallet,0
117.57,6,GB,dev_8589,Grocery,Debit Card,0
19.45,1,ZA,dev_5348,Pharmacy,Net Banking,0
78.02,16,DE,dev_8054,Fuel,E-Wallet,0
7.14,7,CA,dev_8693,Electronics,E-Wallet,0
4.25,14,GB,dev_6888,Fuel,Credit Card,0
60.63,14,BR,dev_9438,Electronics,UPI,0
62.23,7,FR,dev_1654,Travel,E-Wallet,0
81.16,15,CA,dev_7180,Electronics,E-Wallet,0
103.6,18,DE,dev_8308,Fuel,Net Banking,0
297.88,10,SG,dev_1060,Fuel,E-Wallet,0
58.1,1,GB,dev_5233,Clothing,Net Banking,0
31.2,16,ZA,dev_2943,Pharmacy,UPI,0
126.85,15,FR,dev_8142,Clothing,Credit Card,0
25.27,14,US,dev_5603,Grocery,Credit Card,0
46.24,12,GB,dev_1883,Fuel,UPI,0
6.54,14,AU,dev_6827,Pharmacy,UPI,0
2.05,3,AU,dev_9992,Travel,Debit Card,0
262.99,15,ZA,dev_8376,Electronics,E-Wallet,0
144.62,11,IN,dev_6474,Grocery,E-Wallet,0
95.25,3,ZA,dev_5529,Restaurants,E-Wallet,0
42.07,2,FR,dev_3365,Restaurants,Net Banking,0
15.22,16,AU,dev_6246,Pharmacy,Debit Card,0
13.61,17,SG,dev_4450,Electronics,E-Wallet,0
23.04,17,SG,dev_1592,Electronics,Net Banking,0
63.74,16,AU,dev_5917,Pharmacy,Net Banking,0
100.31,11,FR,dev_4315,Electronics,Credit Card,0
86.35,3,BR,dev_9719,Clothing,Net Banking,0
26.27,11,DE,dev_5603,Electronics,UPI,0
247.85,19,DE,dev_1735,Restaurants,Net Banking,0
107.12,14,FR,dev_1149,Electronics,UPI,0
64.66,15,US,dev_6731,Fuel,UPI,0
75.68,4,DE,dev_7173,Pharmacy,Credit Card,0
43.52,14,CA,dev_8743,Travel,Credit Card,0
22.77,16,DE,dev_6951,Restaurants,Net Banking,0
35.2,17,CA,dev_7098,Travel,Credit Card,0
113.45,4,AU,dev_1719,Restaurants,Credit Card,0
1.16,12,BR,dev_4739,Grocery,E-Wallet,0
9.87,18,ZA,dev_7761,Fuel,Net Banking,0
3.77,12,BR,dev_6184,Restaurants,Net Banking,0
3.33,17,DE,dev_7512,Fuel,Net Banking,0
154.74,13,DE,dev_8613,Restaurants,Credit Card,1
97.3,3,FR,dev_2503,Travel,Credit Card,0
51.42,3,ZA,dev_8262,Travel,UPI,0
8.24,19,DE,dev_9931,Pharmacy,Debit Card,0
54.12,19,IN,dev_2214,Restaurants,Debit Card,0
51.32,18,IN,dev_4419,Restaurants,Debit Card,0
15.22,12,US,dev_1233,Clothing,E-Wallet,0
45.51,11,AU,dev_3995,Fuel,Credit Card,0
40.67,6,CA,dev_7472,Fuel,UPI,0
76.54,11,BR,dev_5100,Fuel,UPI,0
80.65,3,AU,dev_1103,Fuel,Debit Card,0
3.71,1,CA,dev_7701,Grocery,E-Wallet,0
37.55,1,CA,dev_9895,Grocery,E-Wallet,0
78.65,4,GB,dev_7152,Electronics,Debit Card,0
55.96,9,DE,dev_3951,Restaurants,Debit Card,0
155.31,9,US,dev_5196,Restaurants,Credit Card,0
86.0,8,DE,dev_6928,Restaurants,E-Wallet,0
14.23,12,US,dev_3736,Restaurants,UPI,0
5.85,6,AU,dev_7195,Fuel,Debit Card,0
82.27,4,FR,dev_3837,Fuel,Credit Card,0
2.15,9,FR,dev_2275,Grocery,UPI,0
70.51,9,AU,dev_7428,Travel,E-Wallet,0
225.38,5,ZA,dev_2167,Clothing,Debit Card,0
68.54,18,IN,dev_1912,Fuel,Debit Card,0
39.3,7,CA,dev_1580,Fuel,Credit Card,0
82.47,0,US,dev_5287,Pharmacy,Credit Card,0
49.04,16,SG,dev_2207,Fuel,E-Wallet,0
63.11,6,DE,dev_4666,Travel,Debit Card,0
227.05,13,AU,dev_4080,Travel,Credit Card,0
39.03,16,CA,dev_6520,Grocery,Debit Card,0
259.93,8,US,dev_2147,Fuel,E-Wallet,0
188.61,16,BR,dev_9977,Pharmacy,Debit Card,0
17.43,4,ZA,dev_1771,Clothing,UPI,0
5.75,19,DE,dev_9333,Restaurants,Debit Card,0
8.5,7,FR,dev_9042,Fuel,Net Banking,0
1.47,5,AU,dev_9173,Grocery,Net Banking,0
7.94,10,FR,dev_1210,Grocery,E-Wallet,0
91.91,18,US,dev_4164,Clothing,E-Wallet,0
5.91,3,FR,dev_3126,Pharmacy,E-Wallet,0
30.73,17,DE,dev_4671,Electronics,UPI,0
149.08,0,IN,dev_6437,Grocery,UPI,0
1.88,12,CA,dev_2929,Travel,Debit Card,0
134.76,13,IN,dev_9397,Travel,Credit Card,0
26.49,0,AU,dev_7626,Restaurants,Net Banking,0
10.06,10,IN,dev_1532,Grocery,Net Banking,0
95.45,16,GB,dev_7995,Pharmacy,Net Banking,0
79.31,3,CA,dev_8396,Restaurants,Debit Card,0
167.95,11,US,dev_7826,Grocery,Debit Card,0
106.26,9,CA,dev_1048,Clothing,E-Wallet,0
130.16,5,GB,dev_5925,Fuel,Credit Card,0
26.51,0,SG,dev_4824,Pharmacy,E-Wallet,0
15.63,6,IN,dev_8424,Grocery,Debit Card,0
111.1,15,CA,dev_4798,Pharmacy,UPI,0
131.54,13,FR,dev_1067,Electronics,E-Wallet,0
372.56,19,US,dev_4074,Pharmacy,Debit Card,0
42.57,19,BR,dev_9235,Pharmacy,Debit Card,0
37.22,5,AU,dev_5763,Travel,UPI,0
119.84,4,AU,dev_3082,Clothing,UPI,0
33.34,17,AU,dev_2978,Fuel,UPI,0
213.61,14,CA,dev_3333,Fuel,Credit Card,0
156.39,5,IN,dev_2613,Travel,Debit Card,0
44.83,18,CA,dev_5615,Pharmacy,UPI,0
111.18,0,DE,dev_8366,Fuel,Credit Card,0
112.37,0,FR,dev_8903,Restaurants,Net Banking,0
8.71,12,BR,dev_7403,Clothing,Net Banking,0
186.28,2,BR,dev_6179,Electronics,Net Banking,0
56.3,9,FR,dev_6849,Travel,Debit Card,0
140.11,2,GB,dev_6179,Grocery,Credit Card,0
30.86,8,ZA,dev_2112,Grocery,Credit Card,0
180.7,7,DE,dev_9448,Grocery,Net Banking,0
39.44,2,US,dev_6614,Clothing,E-Wallet,0
0.87,12,BR,dev_4848,Electronics,Net Banking,0
188.63,5,AU,dev_1226,Fuel,Debit Card,0
7.66,12,CA,dev_5097,Electronics,Net Banking,0
30.77,19,GB,dev_3001,Electronics,Net Banking,0
239.76,19,ZA,dev_3064,Travel,Credit Card,0
240.64,11,FR,dev_9219,Clothing,Net Banking,0
68.16,12,SG,dev_7184,Grocery,UPI,0
79.94,1,US,dev_1057,Travel,UPI,0
47.6,15,ZA,dev_3756,Fuel,E-Wallet,0
27.76,5,AU,dev_7727,Electronics,Debit Card,0
31.88,18,ZA,dev_3592,Pharmacy,Debit Card,0
89.31,12,BR,dev_4905,Grocery,Credit Card,0
111.67,16,CA,dev_8642,Clothing,Debit Card,0
125.46,8,FR,dev_8158,Restaurants,E-Wallet,0
124.71,16,ZA,dev_3959,Electronics,UPI,0
7.65,1,US,dev_4768,Electronics,Credit Card,0
54.56,18,ZA,dev_7555,Electronics,UPI,0
4.74,18,SG,dev_3232,Electronics,E-Wallet,0
63.8,6,GB,dev_4162,Grocery,Credit Card,0
46.6,9,BR,dev_6299,Clothing,Net Banking,0
174.93,9,CA,dev_8697,Travel,Debit Card,0
34.58,19,AU,dev_1252,Grocery,E-Wallet,0
9.96,8,FR,dev_7335,Clothing,Credit Card,0
12.34,16,FR,dev_2623,Travel,UPI,0
114.67,14,GB,dev_3193,Electronics,Credit Card,0
77.03,1,IN,dev_6284,Clothing,Net Banking,0
8.53,3,IN,dev_9288,Electronics,E-Wallet,0
7.03,18,AU,dev_3425,Pharmacy,Credit Card,0
96.58,16,ZA,dev_6897,Clothing,E-Wallet,0
6.04,4,SG,dev_2801,Fuel,E-Wallet,0
138.01,6,FR,dev_2570,Restaurants,UPI,0
98.0,17,ZA,dev_2613,Electronics,Debit Card,0
6.79,6,FR,dev_7872,Electronics,Net Banking,0
7.09,16,FR,dev_5619,Electronics,Credit Card,0
345.24,6,ZA,dev_2393,Fuel,Debit Card,0
37.51,3,GB,dev_2470,Grocery,UPI,0
37.04,7,IN,dev_2134,Travel,Debit Card,0
134.05,12,DE,dev_7824,Electronics,E-Wallet,0
235.37,3,US,dev_9734,Electronics,E-Wallet,0
341.5,5,GB,dev_3084,Grocery,Net Banking,0
111.99,4,BR,dev_1187,Grocery,Credit Card,0
37.76,11,SG,dev_9539,Restaurants,Credit Card,0
6.98,3,SG,dev_6923,Clothing,UPI,0
120.1,8,US,dev_6887,Electronics,Net Banking,0
65.39,3,SG,dev_9913,Clothing,Credit Card,0
44.16,18,ZA,dev_8363,Pharmacy,E-Wallet,0
189.46,13,SG,dev_4437,Grocery,Net Banking,0
9.43,4,DE,dev_2828,Grocery,Debit Card,0
54.28,17,SG,dev_8172,Restaurants,Net Banking,0
0.91,9,FR,dev_8600,Travel,Net Banking,0
50.59,18,GB,dev_6929,Fuel,Credit Card,0
4.64,11,ZA,dev_6289,Fuel,UPI,0
10.12,17,IN,dev_9732,Fuel,UPI,0
10.0,16,SG,dev_2212,Grocery,Credit Card,0
83.81,10,AU,dev_4152,Electronics,Credit Card,0
109.65,2,AU,dev_2962,Restaurants,Credit Card,0
70.04,16,AU,dev_7044,Travel,UPI,0
261.98,0,SG,dev_4427,Pharmacy,Credit Card,0
37.58,14,BR,dev_5612,Fuel,Debit Card,0
26.92,8,FR,dev_9578,Restaurants,Debit Card,0
162.36,14,CA,dev_2055,Grocery,E-Wallet,0
20.25,2,SG,dev_7119,Fuel,Debit Card,0
264.23,18,BR,dev_4136,Travel,Net Banking,0
0.98,12,CA,dev_4102,Pharmacy,E-Wallet,0
280.2,11,US,dev_2334,Clothing,Debit Card,0
3.53,19,DE,dev_3803,Pharmacy,Net Banking,0
177.42,0,FR,dev_6246,Travel,Debit Card,0
60.01,16,SG,dev_6709,Pharmacy,Net Banking,0
396.55,12,GB,dev_3220,Electronics,Credit Card,0
6.13,0,ZA,dev_1493,Fuel,Net Banking,0
64.57,9,GB,dev_6581,Fuel,Credit Card,0
278.69,14,GB,dev_9253,Clothing,Net Banking,0
59.24,6,US,dev_3737,Pharmacy,Net Banking,0
79.41,17,ZA,dev_7140,Clothing,Debit Card,0
95.19,15,US,dev_2663,Pharmacy,Net Banking,0
48.49,13,CA,dev_9334,Fuel,Debit Card,0
79.01,17,US,dev_3987,Electronics,Net Banking,0
70.23,6,AU,dev_8280,Pharmacy,UPI,0
185.14,16,DE,dev_1336,Clothing,E-Wallet,0
3.72,17,AU,dev_8305,Grocery,Debit Card,0
26.39,11,SG,dev_1691,Fuel,Debit Card,0
240.32,7,CA,dev_4214,Travel,Credit Card,0
176.77,1,BR,dev_8907,Travel,UPI,0
48.65,6,CA,dev_7858,Electronics,Credit Card,0
77.43,3,BR,dev_9105,Grocery,UPI,0
25.99,17,DE,dev_9406,Clothing,UPI,0
16.67,5,US,dev_6846,Pharmacy,Net Banking,0
49.84,8,US,dev_6131,Fuel,Credit Card,0
34.88,8,ZA,dev_4284,Travel,E-Wallet,0
